gen;best;worst;avg;std
1;18758;117253;43540.76;14428.126740585556
2;12798;78784;37163.26;10214.350462579596
3;12798;55338;30985.84;8339.680418001639
4;11841;49613;26035.05;7908.264810152729
5;11841;55157;24395.24;7695.1184995684125
6;12841;48086;23599.83;6887.369737505023
7;11915;51859;22085.84;6725.455535084595
8;11161;42948;23197.61;7612.812371121463
9;10118;47954;23772.02;7395.771610832774
10;10118;47948;23985.13;6796.267981260008
11;11330;42025;22798.97;6424.739679481185
12;9250;43222;21999.28;6295.657225548417
13;10050;47351;22958.81;7900.8467922052505
14;9201;46520;21415.68;7360.284259293251
15;9831;43671;21759.39;7636.5433527152845
16;10278;49677;22918.24;7758.633409460715
17;10364;51960;23220.44;7357.330687579565
18;10364;52582;21742.37;7493.524014313959
19;10253;44394;21897.72;8492.334039685438
20;9189;56610;21278.54;7681.344701834439
21;9152;35542;19406.93;6552.452757944921
22;9247;46739;19061.92;6705.129055700569
23;9035;52674;20151.68;6367.0955872831055
24;9035;37650;20198.61;6205.885849570551
25;9035;40127;19740.81;7259.517681905597
26;9204;41025;20629.24;7434.31919965776
27;10204;42517;21061.03;7260.022401418607
28;10204;58305;21282.55;7731.8361549828505
29;9422;50711;20849.85;7273.236904398206
30;8536;38031;20547.21;7003.326842715539
31;10287;45591;20342.18;6398.98920514795
32;9619;41514;20887.02;7439.151022771348
33;9364;50720;21071.94;8080.349844926271
34;8518;43068;20714.52;7281.161704673232
35;8518;41474;18648.07;5933.139796524265
36;8518;40354;19118.75;6454.415036817822
37;7361;41148;19852.08;7309.323716569133
38;7361;44391;20182.33;7728.163682343949
39;8309;44779;19788.63;8280.015324448379
40;6186;41567;18537.01;6932.060213955156
41;7309;34523;18121.68;6259.482002338532
42;8515;35259;17388.52;6032.592329140102
43;7358;39191;18600.38;7642.301392617279
44;7487;40964;18542.1;6827.00247473223
45;8398;38634;19378.85;6549.64708724829
46;8398;52862;22630.53;8522.587179319435
47;8625;60083;23355.86;8721.163314627242
48;8625;38825;20658.42;6542.4646352578775
49;9687;54766;22012.56;8394.73565911399
50;8321;47622;20611.32;7721.418518484799
51;7650;51437;20983.61;7494.37945916138
52;7650;43185;20226.74;7826.802218811971
53;8865;39311;19735.01;6977.638723085339
54;10687;45671;20235.49;7112.822133998572
55;10613;43139;21379.94;6943.350323611794
56;7739;49000;21956.56;7638.596706620922
57;8785;47677;21282.65;7185.634630810281
58;9782;48723;22296.65;8369.18350781604
59;9705;49960;21461.07;7787.321280459669
60;8988;40428;21513.58;7637.816628042337
61;8665;54929;22505.06;9015.052391217703
62;8905;48606;23566.27;8872.828300891437
63;7804;52969;23723.6;8765.465890641524
64;8791;47437;21866.7;8545.357919361833
65;8810;49160;21910.97;7457.9414565347715
66;8785;64357;22908.15;9152.54197299854
67;9200;55883;22658.68;8759.937402607395
68;9991;52566;23368.86;8671.342018419064
69;8963;49775;22725.46;8713.821180653182
70;9957;71323;24708.26;10926.251203061369
71;9997;55326;23449.93;9229.037518891122
72;9997;48923;23473.22;8773.762370363127
73;9951;44267;22938.34;8487.466967499786
74;9914;52846;21427.92;8962.377331578939
75;9224;48640;21214.43;8443.374700029604
76;9117;62224;21618.22;8943.697429564576
77;7954;46095;23012.61;8408.618917390655
78;7954;54172;21588.53;8766.769161390072
79;8960;55520;21875.95;7675.222252645195
80;6905;48224;22444.27;7844.630588950636
81;6773;53778;22032.07;8487.145701889416
82;8859;46883;23604.34;7829.479702023628
83;8856;48649;23881.78;8599.529551760375
84;8856;56132;24651.75;8883.409923419047
85;8856;52812;23923.83;8756.300523685788
86;8816;51027;23825.31;8843.39998608567
87;10677;44744;24316.67;8402.495959005277
88;10997;48874;24307.45;9020.682784994715
89;12071;48754;23626.41;8213.604131068165
90;10690;44683;23730.25;8242.727407084381
91;10690;49954;24057.06;8471.677159594787
92;10951;47212;24184.47;8380.715695517896
93;10951;46462;24020.37;7912.224724633395
94;11917;54154;25992.73;8468.29680024856
95;10874;77729;25848.93;10221.130373158343
96;11616;53098;24998.92;8440.015619274649
97;11779;44231;23553.11;7004.7070429747455
98;10773;42310;22963.3;6957.35941647404
99;12237;45541;23734.57;6945.189859543078
100;11650;49806;24839.69;7815.63833310498
101;9502;52591;25052.76;9530.781663767142
102;9502;59883;22759.33;6947.978247022655
103;11505;49129;23430.95;7820.616728078419
104;9373;67212;23683.7;8911.078971145975
105;9373;44477;23733.81;8252.28406648123
106;9373;53317;23122.21;8612.94996304402
107;8456;46668;21702.52;7406.652093192983
108;8496;39628;20462.79;6735.532389195378
109;8407;49957;21903.4;8259.686613909756
110;8616;51966;21340.85;7671.504095514777
111;8619;44594;22107.89;8043.788700475666
112;8619;48560;22238.31;7805.396900472135
113;8739;48791;22694.33;8191.6493980821715
114;10570;54298;23773.85;8153.0560790111085
115;8659;45277;22897.53;8100.85637751343
116;8659;45163;24271.97;8442.727005482293
117;10662;45874;23704.46;7200.273248176071
118;10662;40305;22636.8;7200.431759276661
119;11668;43357;23642.38;7715.176884271675
120;9659;43988;23693.99;8201.450712520316
121;9711;50317;22543.85;7615.880360634612
122;10619;50852;21809.58;8018.027709081579
123;12708;53015;22980.46;8933.470273549916
124;10407;52846;23018.3;8467.904560751733
125;10407;46222;23164.36;7509.113402419756
126;7284;45471;22028.99;6849.778855547091
127;7284;65969;22896.07;9383.748386710931
128;9988;57480;23250.39;9657.08568450648
129;9028;37268;20652.8;6900.421955214043
130;8988;48662;20027.35;8388.17444903836
131;7539;43465;19942.77;7580.172259065093
132;7539;45440;20301.88;6763.359879941329
133;7539;43237;21228.85;7660.389081991854
134;7505;57717;21721.55;9093.62080293103
135;8241;49717;22006.97;8592.547317827235
136;8241;46443;21811.72;8854.017903844559
137;8373;54717;22046.65;8531.5819322972
138;7281;44803;19406.71;6475.546803622069
139;7330;39960;19355.05;6840.370962711014
140;8493;47526;19971.8;7297.2391039351305
141;9493;48345;20692.55;8130.588675335877
142;9496;49000;20832.02;7608.899102997753
143;9610;43425;20392.44;7056.849702693122
144;9536;36154;21316.53;6830.579841353148
145;9272;43502;20304.56;6548.735774666741
146;9315;53311;20809.85;8077.113196402536
147;9355;48225;21374.72;7139.3146927138605
148;9407;44179;21903.95;7495.745288328572
149;10235;48403;22708.55;7474.3793566757095
150;11201;46468;22569.42;7837.207496525787
151;8527;42905;22009.04;7672.455055482566
152;8527;41348;20934.08;7266.395627379506
153;11244;34099;21705.93;5374.82871402429
154;11607;43136;21874.63;6415.734686931809
155;9604;46422;22837.39;7094.402291800205
156;11493;41834;21649.02;7037.682605773011
157;11499;44037;20911.17;6560.2059526435605
158;10751;49219;21741.28;7435.869730004688
159;11370;38305;21895.91;7179.529792535162
160;9490;47582;22031.03;7906.891062174817
161;7487;54957;21914.35;8344.04930759041
162;7487;49625;21548.04;7008.326402102003
163;7487;42997;21087.27;7040.910962162495
164;7487;36065;19356.76;6113.176621233842
165;7487;49745;19657.33;7143.058811258661
166;7490;55037;20057.68;8827.423585486311
167;7410;55960;17568.16;7642.8872014703975
168;7570;36102;17009.67;5967.145079608841
169;7567;39671;18772.16;7753.784408558185
170;7610;38443;16925.55;6284.9164471375425
171;7610;47588;18093.88;7964.793957510766
172;7607;45680;18342.78;6715.667851494741
173;7610;39582;18530.58;7052.414281903751
174;7567;39855;18901.49;7160.054922268404
175;6856;62271;19419.63;8716.55388287711
176;6859;40425;18074.93;7087.473198898179
177;6370;38714;18472.61;6473.024418144891
178;6370;45877;19212.14;6773.213563767203
179;6370;36336;19881.01;6835.73497803272
180;6693;42394;18639.33;7034.863062000567
181;6693;44375;18747.6;7170.218809771428
182;6693;50972;20027.77;7692.708790608156
183;6693;54637;21030.86;9153.398896606659
184;6693;36551;20026.33;7436.552679911574
185;6862;79249;19131.24;9335.57958684944
186;8327;51080;19256.19;8325.356915706378
187;8327;48671;21486.34;8487.71766992753
188;9545;42560;20286.21;7726.626055782693
189;7548;42443;20419.33;7389.0882104018765
190;7628;58280;21018.37;8075.733031316724
191;7628;48151;19953.94;6676.621302455307
192;7625;45120;18419.07;6311.731586902282
193;4582;;;
